Sl. No,State,District,Assessment Unit  Name,Assessment Unit Type,Recharge Worthy Area(Ha),Total Annual  Ground Water (Ham) Recharge,Annual Extractable Ground Water Resource  (Ham),Total  Ground Water Extraction  (Ham),Stage of Ground Water  Extraction (%),Categorization
200,ANDHRA PRADESH,Eluru,DENDULURU,BLOCK,18619.00,6260.85,5947.83,1908.62,32.09,Safe
201,ANDHRA PRADESH,Eluru,NIDAMARRU,BLOCK,11648.00,0.00,0.00,0.00,,Salinity
202,ANDHRA PRADESH,Eluru,CHATRAI,BLOCK,23940.00,3063.51,2910.32,844.86,29.03,Safe
203,ANDHRA PRADESH,Eluru,MANDAVALLI,BLOCK,21904.00,0.00,0.00,0.00,,Salinity
204,ANDHRA PRADESH,Eluru,MUDINAPALLE,BLOCK,17624.00,0.00,0.00,0.00,,Salinity
205,ANDHRA PRADESH,Eluru,MUSUNURU,BLOCK,20755.00,3925.17,3728.88,1476.14,39.59,Safe
206,ANDHRA PRADESH,Eluru,BUTTAYAGUDEM,BLOCK,45658.60,8843.30,8401.18,1889.23,22.49,Safe
207,ANDHRA PRADESH,Eluru,CHINTALAPUDI,BLOCK,34361.80,6818.98,6478.00,2939.71,45.38,Safe
208,ANDHRA PRADESH,Eluru,DWARAKA TIRUMALA,BLOCK,26550.00,11529.99,10953.41,3509.71,32.04,Safe
209,ANDHRA PRADESH,Eluru,ELURU,BLOCK,17147.00,5910.82,5615.27,370.98,6.61,Safe
210,ANDHRA PRADESH,Eluru,JANGAREDDIGUDEM,BLOCK,21708.56,9432.51,8960.87,3241.36,36.17,Safe
211,ANDHRA PRADESH,Eluru,JEELUGUMILLI,BLOCK,30076.70,10196.22,9686.38,2642.44,27.28,Safe
212,ANDHRA PRADESH,Eluru,KAMAVARAPUKOTA,BLOCK,20267.00,5326.17,5059.88,2365.16,46.74,Safe
213,ANDHRA PRADESH,Eluru,KOYYALAGUDEM,BLOCK,19068.00,5146.04,4888.73,2305.69,47.16,Safe
214,ANDHRA PRADESH,Eluru,LINGAPALEM,BLOCK,20580.00,7401.67,7031.52,3150.19,44.80,Safe
215,ANDHRA PRADESH,Eluru,PADAVEGI,BLOCK,25774.00,13926.32,13229.97,3662.64,27.68,Safe
216,ANDHRA PRADESH,Eluru,PEDAPADU,BLOCK,17995.00,7965.52,7567.22,1429.03,18.88,Safe
217,ANDHRA PRADESH,Eluru,T NARASAPURAM,BLOCK,28867.00,14726.49,13990.16,4651.88,33.25,Safe
218,ANDHRA PRADESH,Eluru,UNGUTURU (WEST GODAVARI),BLOCK,20435.11,8959.67,8511.66,3766.54,44.25,Safe
219,ANDHRA PRADESH,Eluru,VELAIRPAD,BLOCK,37706.55,3978.46,3779.56,464.16,12.28,Safe
220,ANDHRA PRADESH,Guntur,PEDAKAKANI,BLOCK,10949.16,1646.07,1563.77,225.07,14.39,Safe
221,ANDHRA PRADESH,Guntur,TADIKONDA,BLOCK,19215.82,1241.86,1179.76,147.34,12.49,Safe
222,ANDHRA PRADESH,Guntur,THADEPALLE,BLOCK,6666.94,3132.50,2975.86,1026.05,34.48,Safe
223,ANDHRA PRADESH,Guntur,KAKUMANU,BLOCK,17853.34,148.21,140.80,5.56,3.95,Safe
224,ANDHRA PRADESH,Guntur,PRATHIPADU,BLOCK,12288.51,545.33,518.07,81.02,15.64,Safe
225,ANDHRA PRADESH,Guntur,MANGALAGIRI,BLOCK,13365.11,7733.08,7346.41,1292.76,17.60,Safe
226,ANDHRA PRADESH,Guntur,PONNUR,BLOCK,18815.34,4497.19,4272.33,1412.86,33.07,Safe
227,ANDHRA PRADESH,Guntur,THULLUR,BLOCK,18966.04,1267.65,1204.27,177.70,14.76,Safe
228,ANDHRA PRADESH,Guntur,TENALI,BLOCK,13181.05,10809.98,10269.50,1345.21,13.10,Safe
229,ANDHRA PRADESH,Guntur,CHEBROLE,BLOCK,15131.33,4040.22,3838.22,684.50,17.83,Safe
230,ANDHRA PRADESH,Guntur,MEDIKONDURU,BLOCK,12489.13,860.30,817.28,81.38,9.96,Safe
231,ANDHRA PRADESH,Guntur,VATTICHERUKURU,BLOCK,11649.29,0.00,0.00,0.00,,Salinity
232,ANDHRA PRADESH,Guntur,DUGGIRALA,BLOCK,13402.97,8674.46,8240.71,1393.98,16.92,Safe
233,ANDHRA PRADESH,Guntur,KOLLIPARA,BLOCK,11999.36,7050.77,6698.21,2004.03,29.92,Safe
234,ANDHRA PRADESH,Guntur,PEDANANDIPADU,BLOCK,14098.37,0.00,0.00,0.00,,Salinity
235,ANDHRA PRADESH,Guntur,PHIRANGIPURAM,BLOCK,13946.47,1044.82,992.60,311.05,31.34,Safe
236,ANDHRA PRADESH,Guntur,GUNTUR EAST,BLOCK,7646.61,848.87,806.44,88.68,11.00,Safe
237,ANDHRA PRADESH,Guntur,GUNTUR WEST,BLOCK,10668.01,960.37,912.34,329.94,36.16,Safe
238,ANDHRA PRADESH,Kakinada,YELESWARAM,BLOCK,10989.08,3685.77,3501.47,1425.41,40.71,Safe
239,ANDHRA PRADESH,Kakinada,GOLLAPROLU,BLOCK,12062.74,5622.44,5341.31,625.60,11.71,Safe
240,ANDHRA PRADESH,Kakinada,ROUTHULAPUDI,BLOCK,15791.99,5101.41,4846.31,1035.69,21.37,Safe
241,ANDHRA PRADESH,Kakinada,KAKINADA (RURAL),BLOCK,7421.47,4315.84,4100.04,307.95,7.51,Safe
242,ANDHRA PRADESH,Kakinada,KIRLAMPUDI,BLOCK,8709.24,7262.27,6899.12,1126.49,16.33,Safe
243,ANDHRA PRADESH,Kakinada,KOTANANDURU,BLOCK,10998.00,4464.13,4240.92,595.79,14.05,Safe
244,ANDHRA PRADESH,Kakinada,GANDEPALLE,BLOCK,16230.35,3771.87,3583.27,1945.69,54.30,Safe
245,ANDHRA PRADESH,Kakinada,JAGGAMPETA,BLOCK,14896.82,5819.79,5528.80,969.79,17.54,Safe
246,ANDHRA PRADESH,Kakinada,KAJULURU,BLOCK,11521.03,316.37,300.55,0.00,0.00,Safe
247,ANDHRA PRADESH,Kakinada,KAKINADA (URBAN),BLOCK,3195.00,242.56,431.52,264.51,61.30,Safe
248,ANDHRA PRADESH,Kakinada,KARAPA,BLOCK,10403.00,0.00,0.00,0.00,,Salinity
249,ANDHRA PRADESH,Kakinada,KOTHAPALLEE,BLOCK,11543.03,6832.81,6491.16,484.41,7.46,Safe
250,ANDHRA PRADESH,Kakinada,PEDAPUDI,BLOCK,10662.00,13362.22,12694.12,1026.84,8.09,Safe
251,ANDHRA PRADESH,Kakinada,PEDDAPURAM,BLOCK,14474.71,6704.46,6369.22,1323.50,20.78,Safe
252,ANDHRA PRADESH,Kakinada,PITHAPURAM,BLOCK,12524.11,7697.52,7312.64,907.09,12.40,Safe
253,ANDHRA PRADESH,Kakinada,PRATHIPADU (EAST GODAVARI),BLOCK,16945.00,5838.85,5546.88,989.01,17.83,Safe
254,ANDHRA PRADESH,Kakinada,SAMALKOTA,BLOCK,14875.90,12407.66,11787.26,862.09,7.31,Safe
255,ANDHRA PRADESH,Kakinada,SANKHAVARAM,BLOCK,11019.07,3201.07,3041.00,714.22,23.49,Safe
256,ANDHRA PRADESH,Kakinada,THALLAREVU,BLOCK,41475.00,0.00,0.00,0.00,,Salinity
257,ANDHRA PRADESH,Kakinada,THONDANGI,BLOCK,16215.27,6767.67,6429.26,1284.54,19.98,Safe
258,ANDHRA PRADESH,Kakinada,TUNI,BLOCK,16171.37,9179.03,8720.11,1207.40,13.85,Safe
259,ANDHRA PRADESH,Konaseema,I POLAVARAM,BLOCK,12941.97,0.00,0.00,0.00,,Salinity
260,ANDHRA PRADESH,Konaseema,KAPILESWARAPURAM,BLOCK,10656.87,11530.86,10954.29,523.48,4.78,Safe
261,ANDHRA PRADESH,Konaseema,AINAVILLI,BLOCK,9341.52,6946.75,6599.41,822.94,12.47,Safe
262,ANDHRA PRADESH,Konaseema,ALAMURU,BLOCK,7838.07,6997.59,6647.70,1149.44,17.29,Safe
263,ANDHRA PRADESH,Konaseema,ALLAVARAM,BLOCK,10492.00,0.00,0.00,0.00,,Salinity
264,ANDHRA PRADESH,Konaseema,AMALAPURAM,BLOCK,8057.39,5105.87,4850.55,414.69,8.55,Safe
265,ANDHRA PRADESH,Konaseema,AMBAJIPETA,BLOCK,5395.25,2795.71,2655.93,659.97,24.85,Safe
266,ANDHRA PRADESH,Konaseema,ATREYAPURAM,BLOCK,8597.14,9492.98,9018.30,1541.69,17.10,Safe
267,ANDHRA PRADESH,Konaseema,KATRENIKONA,BLOCK,13815.99,0.00,0.00,0.00,,Salinity
268,ANDHRA PRADESH,Konaseema,KOTHAPETA,BLOCK,7956.46,6138.64,5831.71,972.47,16.68,Safe
269,ANDHRA PRADESH,Konaseema,MALIKIPURAM,BLOCK,8942.13,0.00,0.00,0.00,,Salinity
270,ANDHRA PRADESH,Konaseema,MAMIDIKUDURU,BLOCK,7969.98,0.00,0.00,0.00,,Salinity
271,ANDHRA PRADESH,Konaseema,MANDAPETA,BLOCK,10994.00,12250.22,11637.70,1124.90,9.67,Safe
272,ANDHRA PRADESH,Konaseema,MUMMIDIVARAM,BLOCK,9571.00,6086.33,5782.03,204.21,3.53,Safe
273,ANDHRA PRADESH,Konaseema,P GANNAVARAM,BLOCK,8353.91,5601.41,5321.32,344.31,6.47,Safe
274,ANDHRA PRADESH,Konaseema,PAMARRU (EAST GODAVARI),BLOCK,11705.00,9156.23,8698.42,326.12,3.75,Safe
275,ANDHRA PRADESH,Konaseema,RAMACHANDRAPURAM,BLOCK,10668.90,10798.32,10258.37,665.84,6.49,Safe
276,ANDHRA PRADESH,Konaseema,RAVULAPALEM,BLOCK,7254.00,5958.36,5660.41,1065.44,18.82,Safe
277,ANDHRA PRADESH,Konaseema,RAYAVARAM,BLOCK,7904.00,9323.59,8857.39,656.01,7.41,Safe
278,ANDHRA PRADESH,Konaseema,RAZOLE,BLOCK,7713.70,4066.66,3863.34,115.12,2.98,Safe
279,ANDHRA PRADESH,Konaseema,SAKHINETIPALLE,BLOCK,10071.00,0.00,0.00,0.00,,Salinity
280,ANDHRA PRADESH,Konaseema,UPPALAGUPTAM,BLOCK,11755.00,0.00,0.00,0.00,,Salinity
281,ANDHRA PRADESH,Krishna,GANNAVARAM,BLOCK,18806.00,7670.88,7287.32,1824.53,25.04,Safe
282,ANDHRA PRADESH,Krishna,UNGUTURU,BLOCK,15225.00,11022.70,10471.55,3284.83,31.37,Safe
283,ANDHRA PRADESH,Krishna,NAGAYALANKA,BLOCK,39780.00,0.00,0.00,0.00,,Salinity
284,ANDHRA PRADESH,Krishna,MOVVA,BLOCK,14429.00,12301.06,11686.01,3267.32,27.96,Safe
285,ANDHRA PRADESH,Krishna,MOPIDEVI,BLOCK,8681.00,8972.41,8523.79,2296.61,26.94,Safe
286,ANDHRA PRADESH,Krishna,MACHILIPATNAM,BLOCK,46105.00,0.00,0.00,0.00,,Salinity
287,ANDHRA PRADESH,Krishna,KANKIPADU,BLOCK,10407.00,18537.27,17610.39,5731.97,32.55,Safe
288,ANDHRA PRADESH,Krishna,GUDUR (KRISHNA),BLOCK,12922.00,0.00,0.00,0.00,,Salinity
289,ANDHRA PRADESH,Krishna,GHANTASALA,BLOCK,11854.00,9673.99,9190.31,3098.90,33.72,Safe
290,ANDHRA PRADESH,Krishna,BANTUMILLI,BLOCK,12530.00,0.00,0.00,0.00,,Salinity
291,ANDHRA PRADESH,Krishna,VUYYURU,BLOCK,10050.00,11540.43,10963.40,3946.72,36.00,Safe
292,ANDHRA PRADESH,Krishna,KRUTHIVENNU,BLOCK,18932.00,0.00,0.00,0.00,,Salinity
293,ANDHRA PRADESH,Krishna,BAPULAPAD,BLOCK,22654.00,8492.59,8067.97,3299.20,40.89,Safe
294,ANDHRA PRADESH,Krishna,NANDIVADA,BLOCK,16605.00,0.00,0.00,0.00,,Salinity
295,ANDHRA PRADESH,Krishna,PEDAPARUPUDI,BLOCK,9629.00,13271.75,12608.18,3365.81,26.70,Safe
296,ANDHRA PRADESH,Krishna,THOTLAVALLURU,BLOCK,11473.00,5768.70,5480.27,2198.16,40.11,Safe
297,ANDHRA PRADESH,Krishna,PENAMALURU,BLOCK,8113.00,6319.21,6003.25,2733.97,45.54,Safe
298,ANDHRA PRADESH,Krishna,CHALLAPALLE,BLOCK,9152.00,9475.58,9001.80,2132.07,23.68,Safe
299,ANDHRA PRADESH,Krishna,GUDLAVALLERU,BLOCK,12464.00,0.00,0.00,0.00,,Salinity
300,ANDHRA PRADESH,Krishna,PAMIDIMUKKALA,BLOCK,11222.00,12489.03,11864.58,5813.66,49.00,Safe
301,ANDHRA PRADESH,Krishna,PEDANA,BLOCK,15084.00,0.00,0.00,0.00,,Salinity
302,ANDHRA PRADESH,Krishna,AVANIGADA,BLOCK,7526.00,5801.98,5511.86,1060.29,19.24,Safe
303,ANDHRA PRADESH,Krishna,KODURU,BLOCK,20128.00,0.00,0.00,0.00,,Salinity
304,ANDHRA PRADESH,Krishna,GUDIVADA,BLOCK,11961.00,9308.55,8843.11,978.45,11.06,Safe
305,ANDHRA PRADESH,Krishna,PAMARRU,BLOCK,12324.00,16098.42,15293.46,1927.59,12.60,Safe
306,ANDHRA PRADESH,Kurnool,YEMMIGANUR,BLOCK,29529.00,3418.62,3247.73,1412.10,43.48,Safe
307,ANDHRA PRADESH,Kurnool,VELDURTHI (KURNOOL),BLOCK,29551.00,1891.04,1796.53,624.27,34.75,Safe
308,ANDHRA PRADESH,Kurnool,ORVAKAL,BLOCK,33082.00,1519.03,1443.10,1012.33,70.15,Semi Critical
309,ANDHRA PRADESH,Kurnool,PEDDA KADUBUR,BLOCK,20262.00,4486.68,4262.35,1017.90,23.88,Safe
310,ANDHRA PRADESH,Kurnool,KURNOOL RURAL,BLOCK,30634.00,1941.64,1844.54,642.71,34.84,Safe
311,ANDHRA PRADESH,Kurnool,MANTRALAYAM,BLOCK,18915.00,1981.17,1882.10,551.71,29.31,Safe
312,ANDHRA PRADESH,Kurnool,ADONI,BLOCK,51900.00,5329.18,5062.72,1336.76,26.40,Safe
313,ANDHRA PRADESH,Kurnool,DEVANAKONDA,BLOCK,45095.00,3019.11,2868.15,1003.66,34.99,Safe
314,ANDHRA PRADESH,Kurnool,ALUR,BLOCK,35412.00,2513.93,2388.20,492.45,20.62,Safe
315,ANDHRA PRADESH,Kurnool,HALAHARVI,BLOCK,27410.00,2334.07,2217.37,389.19,17.55,Safe
316,ANDHRA PRADESH,Kurnool,HOLAGUNDA,BLOCK,31923.00,4185.28,3976.00,558.56,14.05,Safe
317,ANDHRA PRADESH,Kurnool,C BELAGAL,BLOCK,21065.00,3072.31,2918.69,696.39,23.86,Safe
318,ANDHRA PRADESH,Kurnool,KOSIGI,BLOCK,21783.00,2700.01,2564.96,1229.62,47.94,Safe
319,ANDHRA PRADESH,Kurnool,MADDIKERA EAST,BLOCK,23133.00,1520.72,1444.68,349.25,24.17,Safe
320,ANDHRA PRADESH,Kurnool,GUDUR (KURNOOL),BLOCK,16135.00,939.42,892.44,416.28,46.65,Safe
321,ANDHRA PRADESH,Kurnool,TUGGALI,BLOCK,35713.00,2136.47,2029.65,556.63,27.42,Safe
322,ANDHRA PRADESH,Kurnool,ASPARI,BLOCK,40618.00,2336.01,2219.20,729.33,32.86,Safe
323,ANDHRA PRADESH,Kurnool,PATTIKANDA,BLOCK,27010.00,1709.94,1624.44,559.64,34.45,Safe
324,ANDHRA PRADESH,Kurnool,KRISHNAGIRI,BLOCK,36805.00,2739.51,2602.52,950.47,36.52,Safe
325,ANDHRA PRADESH,Kurnool,CHIPPAGIRI,BLOCK,28767.00,1988.55,1889.12,304.62,16.12,Safe
326,ANDHRA PRADESH,Kurnool,KOWTHALAM,BLOCK,37541.00,5233.93,4972.23,991.35,19.94,Safe
327,ANDHRA PRADESH,Kurnool,KURNOOL URBAN,BLOCK,1466.00,74.54,70.81,15.36,21.69,Safe
328,ANDHRA PRADESH,Kurnool,KALLUR,BLOCK,31611.00,2265.30,2152.02,806.54,37.48,Safe
329,ANDHRA PRADESH,Kurnool,KODUMUR,BLOCK,23366.00,2171.50,2062.91,857.74,41.58,Safe
330,ANDHRA PRADESH,Kurnool,NANDAVARAM,BLOCK,25993.00,3070.62,2917.08,675.17,23.15,Safe
331,ANDHRA PRADESH,Kurnool,GONEGANDLA,BLOCK,27528.00,2876.30,2732.47,1417.25,51.87,Safe
332,ANDHRA PRADESH,Nandyal,DHONE,BLOCK,40462.00,2864.40,2721.18,803.97,29.54,Safe
333,ANDHRA PRADESH,Nandyal,NANDYAL,BLOCK,22098.00,3430.77,3259.19,206.29,6.33,Safe
334,ANDHRA PRADESH,Nandyal,ALLAGADDA,BLOCK,27613.00,4258.44,4045.52,635.92,15.72,Safe
335,ANDHRA PRADESH,Nandyal,ATMAKUR (KURNOOL),BLOCK,18099.00,1274.06,1210.36,290.94,24.04,Safe
336,ANDHRA PRADESH,Nandyal,BANAGANAPALLE,BLOCK,44028.00,4029.93,3828.45,725.42,18.95,Safe
337,ANDHRA PRADESH,Nandyal,BANDI ATMAKUR,BLOCK,41208.00,6369.24,6050.77,429.42,7.10,Safe
338,ANDHRA PRADESH,Nandyal,BETHAMCHERLA,BLOCK,22172.00,1684.30,1600.08,849.57,53.10,Safe
339,ANDHRA PRADESH,Nandyal,CHAGALAMARRI,BLOCK,20623.00,4563.13,4334.96,732.23,16.89,Safe
340,ANDHRA PRADESH,Nandyal,DORNIPADU,BLOCK,11743.00,1309.70,1244.22,38.20,3.07,Safe
341,ANDHRA PRADESH,Nandyal,GADIVEMULA,BLOCK,21814.00,2177.20,2068.32,570.78,27.60,Safe
342,ANDHRA PRADESH,Nandyal,GOSPADU,BLOCK,13405.00,3973.35,3774.69,117.83,3.12,Safe
343,ANDHRA PRADESH,Nandyal,JUPADU BUNGALOW,BLOCK,22575.00,1877.05,1783.22,464.23,26.03,Safe
344,ANDHRA PRADESH,Nandyal,KOILKUNTLA,BLOCK,20468.00,2146.06,2038.77,152.08,7.46,Safe
345,ANDHRA PRADESH,Nandyal,KOLIMIGUNDLA,BLOCK,29491.00,1513.47,1437.80,330.09,22.96,Safe
346,ANDHRA PRADESH,Nandyal,KOTHAPALLE,BLOCK,26498.00,1859.97,1766.96,440.11,24.91,Safe
347,ANDHRA PRADESH,Nandyal,MAHANANDI,BLOCK,9672.00,2493.79,2369.09,957.64,40.42,Safe
348,ANDHRA PRADESH,Nandyal,MIDTHUR,BLOCK,29364.00,1139.76,1082.74,273.04,25.22,Safe
349,ANDHRA PRADESH,Nandyal,NANDI KOTKUR,BLOCK,15864.00,938.34,891.43,351.19,39.40,Safe
350,ANDHRA PRADESH,Nandyal,OWK,BLOCK,38857.00,3461.87,3288.78,454.13,13.81,Safe
351,ANDHRA PRADESH,Nandyal,PAGIDYALA,BLOCK,15027.00,957.89,910.00,164.92,18.12,Safe
352,ANDHRA PRADESH,Nandyal,PAMULAPADU,BLOCK,19274.00,1369.53,1301.05,378.23,29.07,Safe
353,ANDHRA PRADESH,Nandyal,PANYAM,BLOCK,21572.00,3974.72,3775.98,546.39,14.47,Safe
354,ANDHRA PRADESH,Nandyal,PEAPALLY,BLOCK,29577.00,2829.76,2688.26,1017.86,37.86,Safe
355,ANDHRA PRADESH,Nandyal,RUDRAVARAM,BLOCK,44030.00,8851.87,8409.26,800.29,9.52,Safe
356,ANDHRA PRADESH,Nandyal,SANJAMALA,BLOCK,28150.00,2572.04,2443.42,428.64,17.54,Safe
357,ANDHRA PRADESH,Nandyal,SIRVEL,BLOCK,17523.00,2450.87,2328.31,510.02,21.91,Safe
358,ANDHRA PRADESH,Nandyal,SRISAILAM,BLOCK,14727.00,111.49,105.92,0.00,0.00,Safe
359,ANDHRA PRADESH,Nandyal,UYYALAWADA,BLOCK,20247.00,4539.50,4312.52,88.47,2.05,Safe
360,ANDHRA PRADESH,Nandyal,VELGODE,BLOCK,20001.00,3197.95,3038.06,96.25,3.17,Safe
361,ANDHRA PRADESH,NTR,REDDIGUDEM,BLOCK,18582.00,3924.78,3728.53,2004.82,53.77,Safe
362,ANDHRA PRADESH,NTR,NANDIGAMA,BLOCK,18832.00,3215.06,3054.31,1329.61,43.53,Safe
363,ANDHRA PRADESH,NTR,MYLAVARAM (KRISHNA),BLOCK,21111.00,3735.83,3549.04,1853.79,52.23,Safe
364,ANDHRA PRADESH,NTR,VATSAVAI,BLOCK,18800.00,2598.02,2468.12,1002.13,40.60,Safe
365,ANDHRA PRADESH,NTR,VISSANNAPET,BLOCK,19778.00,4212.06,4001.47,1896.70,47.40,Safe
366,ANDHRA PRADESH,NTR,KANCHIKA CHERLA,BLOCK,15976.00,1739.30,1652.33,556.65,33.69,Safe
367,ANDHRA PRADESH,NTR,VIJAYAWADA NORTH,BLOCK,1932.20,1611.39,1530.82,277.16,18.11,Safe
368,ANDHRA PRADESH,NTR,CHANDARLAPADU,BLOCK,22129.00,2867.60,2724.21,830.24,30.48,Safe
369,ANDHRA PRADESH,NTR,IBRAHIMPATNAM,BLOCK,10404.00,3735.46,3548.66,860.64,24.25,Safe
370,ANDHRA PRADESH,NTR,VIJAYAWADA WEST,BLOCK,1435.40,208.00,197.60,130.37,65.98,Safe
371,ANDHRA PRADESH,NTR,VIJAYAWADA RURAL,BLOCK,14413.00,7581.46,7202.37,936.33,13.00,Safe
372,ANDHRA PRADESH,NTR,VIJAYAWADA EAST,BLOCK,1973.70,948.62,901.19,353.18,39.19,Safe
373,ANDHRA PRADESH,NTR,TIRUVURU,BLOCK,18432.00,5048.91,4796.45,2526.19,52.67,Safe
374,ANDHRA PRADESH,NTR,G KONDURU,BLOCK,20252.00,3922.30,3726.19,1307.86,35.10,Safe
375,ANDHRA PRADESH,NTR,VEERULLAPADU,BLOCK,18715.00,2638.70,2506.74,1000.19,39.90,Safe
376,ANDHRA PRADESH,NTR,PENUGANCHIPROLU,BLOCK,16325.00,3199.75,3039.77,1627.64,53.54,Safe
377,ANDHRA PRADESH,NTR,A KONDURU,BLOCK,18937.00,3262.87,3099.72,1943.99,62.72,Safe
378,ANDHRA PRADESH,NTR,GAMPALAGUDEM,BLOCK,20988.00,3702.41,3517.31,1614.44,45.90,Safe
379,ANDHRA PRADESH,NTR,JAGGAYYAPETA,BLOCK,25781.00,3180.44,3021.41,1228.66,40.67,Safe
380,ANDHRA PRADESH,NTR,VIJAYAWADA CENTRAL,BLOCK,1522.30,2926.20,2779.89,615.25,22.13,Safe
381,ANDHRA PRADESH,Palnadu,MACHAVARAM,BLOCK,19523.59,4722.94,4486.80,1614.57,35.98,Safe
382,ANDHRA PRADESH,Palnadu,KAREMPUDI,BLOCK,20274.80,5634.15,5352.43,1930.18,36.06,Safe
383,ANDHRA PRADESH,Palnadu,ROMPICHERLA (GUNTUR),BLOCK,23323.27,1310.19,1244.66,343.36,27.59,Safe
384,ANDHRA PRADESH,Palnadu,RENTACHINTALA,BLOCK,16944.16,6568.98,6240.51,1518.90,24.34,Safe
385,ANDHRA PRADESH,Palnadu,AMARAVATHI,BLOCK,20573.48,2495.64,2370.85,516.04,21.77,Safe
386,ANDHRA PRADESH,Palnadu,ACHAMPETA,BLOCK,20395.00,2298.48,2183.56,1038.72,47.57,Safe
387,ANDHRA PRADESH,Palnadu,BELLAMKONDA,BLOCK,23411.00,2465.95,2342.66,750.64,32.04,Safe
388,ANDHRA PRADESH,Palnadu,BOLLAPALLE,BLOCK,53910.45,3292.22,3127.62,2743.95,87.73,Semi Critical
389,ANDHRA PRADESH,Palnadu,CHILAKALURIPET,BLOCK,21122.82,357.55,339.67,175.03,51.53,Safe
390,ANDHRA PRADESH,Palnadu,DACHEPALLE,BLOCK,22035.59,5442.51,5170.39,1222.01,23.63,Safe
391,ANDHRA PRADESH,Palnadu,DURGI,BLOCK,35024.01,2294.55,2179.81,1332.94,61.15,Safe
392,ANDHRA PRADESH,Palnadu,EDLAPADU,BLOCK,13963.69,1011.53,960.97,262.28,27.29,Safe
393,ANDHRA PRADESH,Palnadu,GURAZALA,BLOCK,24650.90,4262.14,4049.02,1511.85,37.34,Safe
394,ANDHRA PRADESH,Palnadu,IPURU,BLOCK,25066.41,5546.80,5269.45,1458.28,27.67,Safe
395,ANDHRA PRADESH,Palnadu,KROSURU,BLOCK,16071.39,2172.01,2063.39,1000.57,48.49,Safe
396,ANDHRA PRADESH,Palnadu,MACHERLA,BLOCK,28665.02,8339.43,7922.46,1950.27,24.62,Safe
397,ANDHRA PRADESH,Palnadu,MUPPALLA,BLOCK,13050.53,1274.39,1210.68,279.07,23.05,Safe
398,ANDHRA PRADESH,Palnadu,NADENDLA,BLOCK,16701.26,1015.02,964.27,289.18,29.99,Safe
399,ANDHRA PRADESH,Palnadu,NAKARIKALLU,BLOCK,20423.87,2944.78,2797.55,743.13,26.56,Safe
400,ANDHRA PRADESH,Palnadu,NARASARAOPETA,BLOCK,22909.69,4199.77,3989.78,442.11,11.08,Safe
401,ANDHRA PRADESH,Palnadu,NUZENDLA,BLOCK,39060.04,6802.88,6462.73,950.27,14.70,Safe
402,ANDHRA PRADESH,Palnadu,PEDAKURAPADU,BLOCK,14075.06,4706.67,4471.31,403.20,9.02,Safe
403,ANDHRA PRADESH,Palnadu,PIDUGURALLA,BLOCK,29279.90,2344.44,2227.22,1285.50,57.72,Safe
404,ANDHRA PRADESH,Palnadu,RAJUPALEM,BLOCK,10946.51,3600.96,3420.92,1101.45,32.20,Safe
405,ANDHRA PRADESH,Palnadu,SATTENAPALLE,BLOCK,23945.13,2927.74,2781.36,568.60,20.44,Safe
406,ANDHRA PRADESH,Palnadu,SAVALYAPURAM,BLOCK,14929.21,1046.33,994.00,383.91,38.62,Safe
407,ANDHRA PRADESH,Palnadu,VELDURTHI,BLOCK,33591.90,1922.81,1826.66,2442.11,133.69,Over Exploited
408,ANDHRA PRADESH,Palnadu,VINUKONDA,BLOCK,27787.77,10475.53,9951.73,978.30,9.83,Safe
409,ANDHRA PRADESH,Parvathipuram Manyam,MAKKUVA,BLOCK,16523.20,6870.85,6527.27,1785.11,27.35,Safe
410,ANDHRA PRADESH,Parvathipuram Manyam,VEERAGHATTAM,BLOCK,12697.30,3746.38,3559.01,1060.53,29.80,Safe
411,ANDHRA PRADESH,Parvathipuram Manyam,BHAMINI,BLOCK,13098.20,3995.27,3795.51,803.64,21.17,Safe
412,ANDHRA PRADESH,Parvathipuram Manyam,PARVATHIPURAM,BLOCK,33085.04,7417.59,7046.67,1618.73,22.97,Safe
413,ANDHRA PRADESH,Parvathipuram Manyam,GARUGUBILLI,BLOCK,13528.53,4231.35,4019.78,1529.85,38.06,Safe
414,ANDHRA PRADESH,Parvathipuram Manyam,JIYYAMMA VALASA,BLOCK,18257.20,4216.10,4005.24,1489.63,37.19,Safe
415,ANDHRA PRADESH,Parvathipuram Manyam,SALUR,BLOCK,24826.09,6021.12,5720.05,2858.47,49.97,Safe
416,ANDHRA PRADESH,Parvathipuram Manyam,BALIJIPETA,BLOCK,15925.90,13737.14,13050.23,1940.01,14.87,Safe
417,ANDHRA PRADESH,Parvathipuram Manyam,KURUPAM,BLOCK,29565.98,5905.18,5609.98,691.24,12.32,Safe
418,ANDHRA PRADESH,Parvathipuram Manyam,KOMARADA,BLOCK,25842.55,5991.98,5692.33,3159.30,55.50,Safe
419,ANDHRA PRADESH,Parvathipuram Manyam,GUMMALAKSHMIPURAM,BLOCK,18470.90,3084.43,2930.21,169.74,5.79,Safe
420,ANDHRA PRADESH,Parvathipuram Manyam,PACHIPENTA,BLOCK,21932.60,3509.69,3334.17,1797.86,53.92,Safe
421,ANDHRA PRADESH,Parvathipuram Manyam,SEETHANAGARAM (MANYAM),BLOCK,14704.84,14639.44,13907.41,1645.52,11.83,Safe
